#StationName  TWD97 - 250000 meters					WGS84(latitude,longitude)
東興路	-35259.994054181516,2671937.0119019435	24.1523293,120.6530276
東興路	-35265.458292473348,2670580.4992195261	24.1400809,120.6530069
東興路	-9712.1167099447157,2730737.6860384597	24.6836092,120.9040276
東興路	-33848.15110979681,2666718.5126524637	24.105241,120.6670425
東興路	64332.218576699124,2655563.456349411	24.003575,121.6323187
東興路	62914.279618179818,2728839.7045725188	24.6652175,121.6216022
東興路	-35252.079539004866,2669686.98117998	24.1320134,120.6531603
東興路	-34948.5491128242,2668342.1705078981	24.1198775,120.6561791
東興路	22681.273397844547,2760375.8410784244	24.9510617,121.2246113
東興路	-32398.457908435546,2667875.6886516092	24.1157199,120.6812768
東興路	81696.937293849114,2725176.5693113175	24.6312647,121.8069522
東興路	-64364.950887161758,2628243.7518579029	23.7568995,120.3685576
東興路	-53450.933334326728,2670762.3180757193	24.141211,120.4740698
東興路	-47056.762688536925,2667706.4888861706	24.1138233,120.5370828
東興路	-51185.944795265568,2675428.64664388	24.1834186,120.4961902
東興路	-68111.67296832733,2611735.8322731061	23.6076894,120.3325606
東興路	-19617.795602803621,2644300.2096589706	23.9030553,120.8073245
東興路	-57015.720414433585,2661428.418285754	24.0568101,120.4393623
東興路	-46120.32372995968,2646986.1176755051	23.9267611,120.5469508
東興路	-52386.137014932763,2651011.5188113167	23.9629138,120.4852581
東興路	-57193.273913733305,2623275.2460551849	23.7123081,120.4391035
東興路	-69235.322755794739,2579418.909317093	23.3158337,120.32304
東興路	-82680.7702952809,2604860.0207553129	23.5449272,120.1901862
東興路	30022.288314465302,2570163.1903575035	23.2334388,121.2933713
松山高中(基隆路)	57089.85816254581,2770788.4648135449	25.0441629,121.5657786
國稅局宿舍	58010.162715591578,2769653.7698365049	25.033884,121.574851
松山商職(福德)	58402.542676810546,2769910.4293384016	25.036186,121.57875
松友新村	58657.7952942504,2769995.817394502	25.036947,121.581283
奉天宮	58999.247664365357,2770045.7598897172	25.0373846,121.5846687
奉天宮	-3793.6220233077129,2741811.0498100584	24.7836133,120.9624825
奉天宮	-65904.953163985323,2628678.3795760805	23.7607614,120.353431
奉天宮	-47759.674283840628,2674919.578057522	24.1789299,120.52993
奉天宮	41840.571323546064,2616553.3615303095	23.6520839,121.410146
奉天宮	-25020.303329467009,2676178.5261619291	24.190823,120.7537159
奉天宮	-57276.211183791129,2600156.7013275167	23.5035539,120.4391789
奉天宮	-58680.998538416992,2649086.2100345911	23.94531,120.4234849
奉天宮	-71632.026053507943,2637301.6844076994	23.838377,120.296829
福德國小	59200.775564679941,2770215.4757071258	25.0389089,121.586673
福德國小	-46742.779372887708,2645621.4665715587	23.914421,120.54088
成福路口	59356.456779709908,2770268.4449793077	25.039381,121.588218
南港國宅二	59657.351686492155,2770298.0016914983	25.039636,121.591201
成福長春會	59575.646893225326,2770151.209412646	25.038314,121.590385
國業里	58185.21026839914,2770007.7310595326	25.0370728,121.5766005
基隆路口二	57340.770273624512,2771218.0883440054	25.048032,121.568283
終點站莊敬里	31803.501708355496,2764758.168792625	24.990463,121.315048
終點站莊敬里	22628.848664826928,2760734.213400159	24.954298,121.224098
鄉長路一段	67240.376468660252,2774513.4927560179	25.0773742,121.6665504
崇義高中	67393.909960397927,2774487.2005302478	25.07713,121.668071
橋東	67199.2113458662,2774096.770771442	25.073614,121.666122
橋東	1720.7575943931222,2744206.414765364	24.8052439,121.0170206
橋東	67221.508173233931,2774307.4109571865	25.0755146,121.6663533
橋東	488.15756032793138,2743826.2802542546	24.8018127,121.0048284
橋東	1914.5336981373275,2741284.0269225873	24.7788585,121.0189333
摩登家庭社區	67183.457684283319,2773854.1059712213	25.071424,121.665954
汐止後車站	67001.766203643638,2773544.273818654	25.068635,121.664138
秀峰中學	52607.237922937042,2764809.1216264847	24.990344,121.521128
汐止行政中心	66501.408880203322,2773076.5907816095	25.064435,121.659156
汐止行政中心	66472.851684101814,2772978.0434515807	25.0635466,121.6588682
汐止農會	66181.753880460339,2772956.5125931003	25.063365,121.655982
連興街口	65865.365472420162,2772806.549939658	25.062025,121.652839
東方科學園區	65422.540369254944,2772699.9637349052	25.061082,121.648445
遠東世界中心	65180.913323378365,2772668.3014843413	25.0608066,121.6460487
橫科	62477.797154962464,2771200.2516917	25.0476675,121.6191911
橫科	62712.670789184391,2770722.8615447474	25.043348,121.621497
捷運南港展覽館站(南港路)	62320.4691995934,2771996.9036590224	25.054866,121.617668
南港展覽館	62313.3542348667,2772052.4772628336	25.055368,121.6176
南港展覽館	62109.244156776149,2772049.8854733245	25.055353,121.615577
台肥新村	60944.589940921695,2771860.205776765	25.053688,121.604026
南港輪胎	60616.913837973567,2771802.9193761013	25.053184,121.600776
東明里	-20139.138837103688,2724859.625189126	24.6304365,120.8010752
南港高中	60031.280322464154,2771687.7906266712	25.052168,121.594967
捷運昆陽站	59860.678824831848,2771497.9596199729	25.050461,121.593268
五福新村	48505.268185385437,2769050.0415340126	25.028768,121.480644
冷凍廠	48217.126066727433,2769083.0271015419	25.029075,121.47779
懷德街	52398.051090770095,2778383.797148332	25.1129027,121.5195722
江子翠	47288.345178090109,2769612.8985516466	25.033888,121.468605
江翠國小	47841.360015956583,2769440.920894884	25.032318,121.474079
捷運江子翠站	47671.70452184396,2769184.5691373534	25.030009,121.472389
江翠國中	47168.791743758105,2768989.7590019461	25.028266,121.467399
捷運新埔站	47267.610271567472,2768488.5523537975	25.023738,121.468361
板橋花市	47336.68180521272,2768302.2616260862	25.022054,121.469039
民生路橋	22361.544773549052,2748545.3862512107	24.8442559,121.2212546
民生路橋	-43562.691273565695,2650256.0040304768	23.9563582,120.571977
民生路橋	-33118.397127378354,2670587.00530562	24.1401862,120.6741324
民生路橋	-13667.969990215914,2730855.4734670408	24.6846426,120.8649359
民生路橋	-55227.7145922916,2610486.5114764739	23.5968999,120.4588544
民生路橋	-55555.54254983936,2612053.2890588148	23.6110361,120.4555839
民生路橋	-70837.675777916811,2578820.3133315137	23.3103601,120.3074016
民生路橋	47599.565743096726,2767788.1131101977	25.017404,121.471626
西安里	76935.876236539916,2729238.233130876	24.6681784,121.7601507
東安里	47751.723372346787,2767153.124747003	25.0116665,121.4731116
漢生路	47365.914928620754,2767205.227669612	25.012149,121.469291
海山中學	47484.576158216405,2766954.0901709185	25.009878,121.470458
海山國小	47531.394782774274,2766900.4206464677	25.009392,121.47092
漢民路口	47669.107293486275,2766600.3925021379	25.006679,121.472274
莒光路口	47625.663286801166,2766467.1008531633	25.005477,121.471839
莒光路	50685.739135010117,2769325.30044324	25.0311816,121.50226
國光派出所	47707.994334779272,2765837.3749325275	24.9997892,121.4726329
國光派出所	-32582.084797530384,2666904.7810543803	24.1069495,120.6794922
自強國小	47626.276548097288,2765681.8744991482	24.9983879,121.471818
自強國小	34869.077413866093,2765573.7545843516	24.9977589,121.345436
自強國小	-14632.275628881595,2618435.214316139	23.6695531,120.856546
華安街口	47231.817941412162,2765511.3353300756	24.9968606,121.4679045
延和路	47081.40013529361,2764697.8212304716	24.9895208,121.4663867
安和國小	46938.193549920892,2764634.8800326982	24.988957,121.464966
金城路口	46827.170584563144,2764421.055176537	24.98703,121.463859
明德路	52549.198239714249,2778185.0414699703	25.1111031,121.5210633
清水高中	46898.195480757604,2763845.0975078722	24.981828,121.464543
清水高中	-43180.589310056159,2684500.7267469866	24.265571,120.574711
國際公園城	46964.517431236527,2763670.64806044	24.980251,121.465194
青山路	40870.143698207692,2769041.6685886811	25.0289178,121.4049881
青山路	39510.465142610527,2769781.4673923729	25.0356329,121.3915363
青山路	52450.092271266818,2760560.6443703063	24.951994,121.5194103
青山路	46759.345433553462,2763135.9474774119	24.97543,121.4631437
青山路	22114.913197549544,2767197.0131075294	25.0126539,121.2191118
青山路	66204.117270338349,2772799.4937778786	25.0619465,121.6561961
青山路	-39483.591070971277,2525599.4390457617	22.8308063,120.6153202
明德路一	52125.508146263805,2777678.0783308833	25.106541,121.516843
明德路一	34085.107110863086,2765104.2461763741	24.9935379,121.337658
明德路一	54782.697758134229,2763285.0768011753	24.9765079,121.542617
明德路一	24601.729765787342,2757371.1134068375	24.923904,121.243576
明德路一	-4835.1109972494787,2738822.3037709272	24.756626,120.9521929
明德路一	39761.076061461907,2611409.4522736114	23.605688,121.3896245
明德路一	21807.76355550743,2760945.2136985045	24.956215,121.21597
明德路一	43881.421527256345,2773740.6395922354	25.0712561,121.4349763
海山高工	45519.179492260206,2763899.6597997514	24.9823626,121.4508855
柑林橋	-6669.9255431212132,2741548.6770164692	24.7812346,120.9340382
柑林里	45491.700010903296,2764017.8433574606	24.9834304,121.4506172
捷運土城站	44863.852018709578,2762870.7517937571	24.973093,121.444361
土城區公所	44718.030120827083,2762789.7491325112	24.972366,121.4429141
承天路	44774.057648745809,2761336.5228998833	24.9592444,121.443422
捷運永寧站	44029.228132800934,2762162.8062112713	24.966726,121.436072
忠義路口	44447.495784082515,2762427.7760882615	24.969106,121.440223
中山路口	37002.491373945,2758667.3872784451	24.935356,121.366386
玉光里	47641.60749661646,2767731.7135647256	25.0168935,121.4720406
新北市議會	47551.324229580219,2768831.9138731859	25.026829,121.471184
錦和路	49396.633841411662,2765669.0871168086	24.9982158,121.4893554
建一路	49274.800919000387,2765781.8505951311	24.9992378,121.4881525
光寶電子	49269.070858405408,2766041.598041588	25.001583,121.488105
板南路口	50455.627131175017,2765061.9874259573	24.9927,121.499824
立德街	49078.65839742784,2766808.3220101781	25.0085112,121.4862459
國際科學園區	49006.492833438933,2766697.2752072276	25.007511,121.485527
中正路口	42793.843094336575,2765819.1095036482	24.999771,121.42395
員山路口	48295.062754231214,2767075.4472391056	25.010948,121.478492
正隆廣場	47927.86864712,2767275.4171042521	25.012765,121.474861
憲兵隊	47979.149478726853,2767359.7789412714	25.013525,121.475372
民生中山路口	43606.79704324629,2770669.9060590779	25.0435413,121.4321569
民生中山路口	47533.3837464636,2766603.9742726153	25.0067156,121.4709295
民生中山路口	37888.88721821877,2775332.3422616953	25.0857883,121.37562
民生中山路口	31560.388535670445,2765291.031457488	24.9952789,121.3126519
民生中山路口	41789.924672913759,2761567.4934870107	24.9614147,121.4138761
民生中山路口	-32183.932460725715,2682370.1886230381	24.2465984,120.6830641
民生中山路口	-29540.472810123909,2680868.3582679909	24.2330901,120.7091265
民生中山路口	-37766.546452713344,2693465.4077456342	24.3466531,120.6277973
民生中山路口	-13453.735359994875,2702010.46233151	24.4242059,120.8673272
民生中山路口	-18403.454290989335,2716626.9951169146	24.5561272,120.8183267
民生中山路口	50653.547347474676,2794152.0730703226	25.2553153,121.5028584
民生中山路口	51469.748799145818,2637715.5595033825	23.84289,121.505271
民生中山路口	-43845.733705071689,2650244.0738004171	23.9562427,120.5691964
民生中山路口	-47035.035148349096,2644352.0674056695	23.9029505,120.5380502
民生中山路口	-32032.03923340547,2645100.52261639	23.9100807,120.6853821
民生中山路口	-21714.924584459011,2636076.3217762443	23.8287691,120.7868493
民生中山路口	-57890.728892016828,2661730.6818138906	24.0595075,120.4307466
民生中山路口	-60801.74890325225,2627685.2862724611	23.7519958,120.4035353
民生中山路口	-45745.3153821431,2609296.95416835	23.5864544,120.5518012
民生中山路口	-60148.448403280774,2629508.1136126155	23.7684794,120.4098697
民生中山路口	32229.180031476266,2581180.1225976921	23.332883,121.3151704
台北醫院	46383.496135848429,2770605.3613540856	25.042876,121.459672
思源復興路口	46397.99964946301,2770782.69166832	25.0444765,121.4598217
幸福思源路口	46394.643762154708,2771330.8616525386	25.0494255,121.4598069
幸福新城	46007.539906302693,2771315.9829491461	25.049303,121.45597
幸福中港路口	45642.420604202038,2771304.6003007512	25.0492113,121.4523511
聯邦社區	45685.136822414825,2771502.4272920373	25.050996,121.452781
中原中華路口	45607.325640028488,2771869.6999927857	25.0543141,121.452022
中原中華路口	60481.511918588738,2652342.7683267342	23.9746465,121.5943384
中原里	47038.71107026645,2775373.4396236213	25.085902,121.4663281
中原路口	45602.695955156843,2771745.3939167787	25.053192,121.451972
中原路口	46546.379132213951,2775184.66464141	25.084213,121.461441
中平國中	-28638.135575549768,2668644.0966091077	24.1227308,120.7182538
新莊高中	44736.322728971849,2771236.9917376866	25.048628,121.443369
中平路	44881.317566492842,2771323.9092625626	25.0494084,121.4448088
中平路	29537.859433535374,2764519.139322388	24.9883508,121.2925995
中平路	-34191.011699294075,2675590.9085693122	24.1853447,120.6634602
中平路	22510.41162902143,2760875.605512992	24.9555763,121.2229274
中平路	7841.979595943716,2753713.2857576646	24.8910581,121.0776212
中平路	5920.1724383912588,2754547.0581605313	24.8985945,121.0586024
中平路	-28619.469856727213,2669349.1952484879	24.1290977,120.7184235
中平路	-69194.08388912394,2638718.5627499544	23.8512775,120.3206929
中平路	4988.16804089196,2754906.2719469434	24.901841,121.049378
新泰國中南站	44982.361858195705,2770306.7024241537	25.040222,121.445777
新莊棒球場	45028.840321873322,2770472.2288917508	25.041715,121.446243
新莊體育場	45615.601878734269,2770207.5624276181	25.039308,121.452049
新莊體育場	45627.223470191486,2770350.5556712183	25.0405986,121.4521689
新莊體育場	46307.909690652734,2767420.2557685361	25.014123,121.458816
新莊體育場	45659.610035530088,2770509.1809639242	25.0420297,121.4524951
新莊田徑場	45608.614851629936,2770668.1036577388	25.043466,121.451995
仁義里	23701.765559133641,2761444.4492215086	24.9606939,121.2347354
仁義里	48515.6852121195,2775254.6570429513	25.0847829,121.4809658
仁義里	29634.714948797646,2756709.0367088458	24.9178368,121.2933918
仁義里	46296.786213883643,2771120.1514395718	25.0475262,121.45883
仁義里	50182.842363350246,2772335.1125428863	25.0583709,121.4973864
仁義里	75679.869688499341,2780499.6668327595	25.131015,121.7505351
仁義里	-55937.085755284235,2599218.8954029945	23.4951324,120.4523255
仁義里	-49388.324914537421,2511349.8898627223	22.7018609,120.5192737
仁義里	-72358.976328310178,2520863.6080040485	22.7869451,120.2952571
捷運頭前庄站(思源路)	46449.928836409519,2770268.6369066895	25.039834,121.460319
中和戶政(員山辦事處)	48622.155913045273,2766869.7507907334	25.0090805,121.4817254
微星科技	49153.835482074734,2766620.2676839042	25.006811,121.486984
大直站	55168.45493114202,2774692.1223162981	25.079476,121.546894
德明財經科技大學環山	57048.744573010881,2775477.5983552709	25.0864973,121.5655655
麗山高中(港墘)	58337.301661131256,2775091.2299908	25.08296,121.578323
麗山高中(港墘)	58306.359372560553,2775132.0820422103	25.08333,121.578018
港墘	57663.513446262943,2774310.9898557216	25.075942,121.571611
捷運文德站	58988.860384223051,2774603.4386266707	25.078531,121.584761
湖興	-17962.180562306468,2674595.5248944997	24.176626,120.823211
上灣仔	59347.578535701592,2773238.8841604241	25.066198,121.588258
潭美國小(成功)	59631.768700343273,2772643.3017056971	25.06081,121.591049
理明社區	63924.257497957507,2773081.6641558879	25.064592,121.633613
台北奇蹟	64076.931159416468,2773184.3991119778	25.065513,121.635131
柏克力托兒所	64194.179623563592,2773310.6738267248	25.066648,121.636299
生活大國社區	64354.095629963485,2773502.6157367146	25.068374,121.637893
康福里	63460.3689286131,2773248.9760090127	25.066122,121.6290229
興福里	63784.658486881242,2773129.7826713282	25.0650323,121.6322316
興福里	55106.99163473447,2765580.76491926	24.9972216,121.5459205
大汐止百貨	63801.909300859923,2773246.69198748	25.066087,121.632408
社后派出所	63914.687511872144,2772985.8701097481	25.0637276,121.6335137
中興路	23444.758912815294,2751780.1892387136	24.873445,121.2320268
中興路	26635.65734054118,2685675.4198915884	24.2765459,121.2623602
中興路	29798.624610632211,2689686.5855036275	24.3127062,121.2935983
中興路	-44518.918463346548,2678146.727657734	24.2081631,120.5617265
中興路	-31249.499926236127,2646361.2908470337	23.9214804,120.6930412
中興路	34444.938927442105,2696136.7698427862	24.3708496,121.3395319
中興路	3858.6942582105685,2741072.1309303753	24.7769417,121.038159
中興路	31823.695841628414,2692541.1013388503	24.3384399,121.313614
中興路	54920.843884096335,2763796.8838401856	24.9811235,121.5440056
中興路	-30855.395134646602,2664579.6626516744	24.0859899,120.6965268
中興路	44250.770730161414,2775012.0222467217	25.0827234,121.4386783
中興路	63850.004442845471,2773041.9046689142	25.0642362,121.6328752
中興路	54746.880526124085,2761848.4159570979	24.963539,121.5422054
中興路	33639.881302951573,2764725.9062321265	24.9901321,121.3332383
中興路	7525.3000300989506,2738451.0252052913	24.753263,121.0744043
中興路	6317.26047446218,2739214.7195592616	24.7601636,121.0624636
中興路	26130.504441451685,2766997.2566110888	25.0107865,121.2588937
中興路	19014.106002531087,2755677.5292803016	24.9086937,121.1882313
中興路	-28944.074682994287,2669117.1867029113	24.1269969,120.7152345
中興路	5579.8725664308777,2740121.5578156775	24.768354,121.0551761
中興路	55359.130917170696,2762915.1188498456	24.973147,121.5483115
中興路	9453.2628473545228,2761440.1676568491	24.9608108,121.0936226
中興路	71293.00783444487,2731918.5962039786	24.6926487,121.7045368
中興路	44981.686125697895,2774797.0905787726	25.0807614,121.445917
中興路	-14482.969030397579,2659695.1396859246	24.04212,120.8576032
中興路	34198.591056023826,2765189.3852665024	24.994304,121.3387843
中興路	50607.440145920766,2627287.36711788	23.7487564,121.4964482
中興路	-51473.735473147193,2674063.3798805354	24.1710822,120.4934063
中興路	-31518.748490295377,2667063.311407276	24.1084025,120.6899486
中興路	46481.853073310158,2774414.3617681209	25.0772607,121.4607753
樟樹灣	64085.694349247991,2772628.9307980048	25.060498,121.635192
南樟樹灣	63991.738713563987,2772310.5814194181	25.057628,121.634246
南港車站	61250.652093525743,2771809.1819446669	25.053215,121.607057
臺北奇蹟	64076.931159416468,2773184.3991119778	25.065513,121.635131
南陽街口	62997.964897041864,2772579.3922611531	25.0600965,121.6244091
南陽街口	-37977.747454404591,2692985.8651866172	24.3423182,120.6257286
南陽街口	63068.418835014381,2773051.4289889145	25.064355,121.625129
南陽街郵務中心	63135.47405164838,2772361.97831014	25.058128,121.625762
基隆市界	69145.472567604636,2774305.222087367	25.075408,121.685424
摩天鎮	68931.818973116242,2774241.0011037881	25.074838,121.683303
新茂工廠	68938.384787142684,2774019.8249571878	25.072841,121.683357
保長坑	68731.7452352407,2773823.9363220655	25.071082,121.681299
保安里	43180.084826733306,2765338.0525171929	24.995417,121.4277613
長安里	46463.947268571683,2774932.3007074823	25.0819372,121.4606153
橋東里	66981.1494985845,2774038.3301198459	25.0730961,121.6639577
汐止	67257.98727174876,2773327.5386171364	25.066667,121.666667
汐止公園	66393.677973507438,2773133.8881330332	25.064957,121.658091
汐止國小	66098.817739626014,2773331.5102928	25.066754,121.655178
汐科站北站	65240.651515749392,2772863.0322785112	25.062562,121.64665
遠東科技中心	65641.91808706247,2773008.6252727709	25.063859,121.650634
遠東科技中心	65644.736995046464,2773135.7251910362	25.0650063,121.650668
汐科站南站	65303.801149174113,2772886.3744776105	25.06277,121.647277
昊天嶺	65354.723912481233,2773018.8774966374	25.063964,121.647788
聯合報總部	64775.200828230845,2772676.1617303393	25.060895,121.642028
捷運南港展覽館(南港路)	62320.4691995934,2771996.9036590224	25.054866,121.617668
園區街	61825.369427843616,2772453.3135436089	25.0590067,121.6127817
三重里	62097.478152729433,2772349.50659289	25.0580584,121.6154739
三重里	6578.0921263777846,2738865.5537407012	24.75701,121.065041
陸軍後勤指揮部	59611.682676440883,2771420.5507118935	25.049772,121.590797
國華新村	59321.128165040915,2771315.938312917	25.048839,121.587913
聯合醫院忠孝院區	59139.230834157861,2771028.2592605795	25.046249,121.586098
捷運後山埤站	58778.962254888123,2770894.3357367362	25.045054,121.582522
香檳新村	59185.726036360662,2770754.1983627751	25.043773,121.586547
玉成公園(成福)	59264.285706485527,2770579.4143649493	25.042192,121.587318
成福路口一	59109.668987758436,2770915.4245165274	25.0452315,121.5858002
成福路口一	59321.425050862374,2770425.22927611	25.0407978,121.5878776
南港國宅一	59695.210862835935,2770455.7904381235	25.041059,121.591583
南港國宅五	59805.817163980239,2770338.9705834207	25.04,121.592674
南港國宅四	59883.059257436944,2770282.9278919525	25.039491,121.593437
南港國宅三	59787.100728063357,2770211.5050527123	25.03885,121.592483
聯合醫院忠孝院區(成福)	59139.230834157861,2771028.2592605795	25.046249,121.586098
福德二路	63482.708997518894,2773111.8143812427	25.0648828,121.629238
泛碟科技	63382.680362479718,2772686.79224364	25.06105,121.628227
大樹木葉	63575.198259805235,2772836.672696562	25.062395,121.630142
北峰國小	63727.613337277937,2772887.8945464944	25.062851,121.631655
伯爵山莊	64748.472615829145,2774268.4615936158	25.075271,121.641838
樟江大橋	65066.162256214739,2774335.4165231818	25.0758618,121.6449902
樟江大橋二	65066.162256214739,2774335.4165231818	25.0758618,121.6449902
厚德里	64753.34227727601,2773652.8479221589	25.0697132,121.6418573
厚德里	49528.632201321328,2773969.4030206725	25.0731468,121.4909612
樟樹國小	64704.70320748027,2773308.3224421479	25.066605,121.641359
忠孝里	25866.103731864063,2762957.6330964887	24.9743201,121.2561985
忠孝里	64685.1586159451,2772863.9212646997	25.0625939,121.6411444
忠孝里	-9162.1412482898668,2731657.1406909013	24.6919141,120.9094563
忠孝里	44895.582828651211,2769897.192919373	25.0365275,121.4449037
忠孝里	-47048.982316108631,2664464.768244646	24.0845535,120.5372645
忠孝里	8535.5343591341552,2737269.6885765628	24.7425918,121.0843855
忠孝里	51437.721070733976,2764236.303882848	24.9852127,121.5095218
忠孝里	53994.071487896086,2764652.3144520414	24.9888796,121.5348594
忠孝里	47720.892603048262,2775970.7066816418	25.0912727,121.4731116
忠孝里	50164.343039974345,2772468.2527822587	25.0595735,121.4972079
忠孝里	-42738.522311513363,2650333.2562589357	23.9570781,120.5800724
忠孝里	-46011.208526025672,2622829.3754111887	23.7086407,120.5487773
忠孝里	37431.804308884472,2563016.33871583	23.1687486,121.3655989
忠孝里	-80096.817647983189,2541843.615547121	22.9760445,120.218816
忠孝里	-70522.305409491266,2501851.9640703234	22.6153399,120.314
忠孝里	-67106.179191360119,2503599.1063806117	22.6312562,120.3471539
忠孝里	-72505.449998391559,2521194.7721852986	22.7899293,120.2938152
樟樹一路口	64729.807437781761,2772844.2055194774	25.062414,121.641586
中華科技大學	61516.515197201137,2769571.9625088838	25.033007,121.609592
軍人公墓	61780.074362992134,2769603.2807013625	25.033279,121.612205
研究院路三段	61667.747628459518,2769467.8460199321	25.0320609,121.6110859
四分里(二)	62175.77550089961,2769780.86558887	25.034866,121.616134
凌雲五村	62257.590858460884,2769897.8776883371	25.035919,121.61695
四分里(一)	62264.9140873677,2770151.0178001644	25.038204,121.617034
胡適公園	62352.2541520877,2770339.2801620313	25.0399,121.617908
中研院	62012.013227594827,2770590.8602027996	25.0421852,121.6145477
中研新村	62104.188200436336,2770965.3233758677	25.045562,121.615478
圓拱橋	62128.680279977962,2771171.2434467571	25.04742,121.61573
南港水廠	62118.327192841934,2771406.358834981	25.049543,121.615638
誠正國中	62463.21928680336,2771914.1359099895	25.0541129,121.619079
國家文官學院	61913.020032745459,2771745.7196089416	25.0526151,121.6136186
工程營產中心	61635.784471733583,2771722.3002489824	25.052415,121.61087
捷運南港站	61213.763987632468,2771687.2815397261	25.052116,121.606686
南港機廠	60836.257367805236,2771648.3757740334	25.05178,121.602943
新湖舊宗路口	58381.116328979362,2772773.4745585332	25.062034,121.578659
內湖運動公園	57892.323423030852,2773405.9840286961	25.067763,121.573841
陽光抽水站	57949.997635945241,2773865.3640856487	25.071908,121.574432
金泰公園	57245.212868007206,2774536.8566307914	25.077997,121.567474
明水路一	55102.003686542776,2774485.3819936551	25.077612,121.546227
大直加油站	55477.7274169125,2775193.9384413031	25.083995,121.54998
廣合新村	56809.840319618175,2772615.7549676467	25.06067,121.563079
新東里	57563.78416824749,2772256.1263479292	25.0573948,121.5705365
發電所	57460.523354002311,2772014.4603707632	25.055217,121.569503
南松山(塔悠)	57559.107009893967,2771654.4362456426	25.051963,121.570465
基隆路口一	56456.814113930021,2769536.5841391543	25.0328848,121.5594539
基隆路口一	57198.3289882217,2770946.5414352962	25.0455859,121.5668601
基隆路口一	57229.997754921278,2770950.4180722828	25.0456197,121.5671741
基隆路口	57403.723935551636,2771244.8264098568	25.048271,121.568908
景明街	54625.860012029545,2766015.4565344723	25.0011634,121.5411715
武功國小(興隆)	54497.111584108738,2766343.6546949088	25.004131,121.539909
師大分部	54374.708153193038,2766715.0118842493	25.007488,121.538711
捷運公館站	53917.657020364968,2767534.9818057069	25.014907,121.534215
台電大樓	53597.442634277322,2767832.904245472	25.017608,121.531054
羅斯福師大路口	53251.765515253544,2768227.3566954629	25.0211813,121.5276443
羅斯福浦城街口	53104.576097135316,2768359.228057079	25.022377,121.526191
羅斯福金門街口	52952.964198807589,2768547.0543094631	25.024078,121.524696
羅斯福和平路口	52739.274039828684,2768843.3047868744	25.02676,121.52259
捷運古亭站(杭州)	52679.14761274249,2769072.9141075709	25.028835,121.522003
古亭市場	52519.957716984696,2768820.1961590433	25.026559,121.520416
和平西路一段	52275.515648679735,2768843.3729856149	25.0267767,121.5179948
三元街	51510.799900242433,2769011.5707868035	25.0283214,121.5104238
龍興宮	51558.11300227898,2769019.2259418373	25.0283889,121.5108929
龍興宮	78198.888868385518,2770826.7787547191	25.0435649,121.7749649
龍興宮	-39132.857726636525,2608223.4175848267	23.5769339,120.616615
龍興宮	-86265.466886854032,2566307.0303981006	23.1966329,120.157282
三元南海路口	51356.9065825406,2769148.29793967	25.029561,121.508904
植物園	51424.0581653863,2769446.1029631877	25.0322473,121.5095805
植物園	-33775.258941728949,2672570.1194138639	24.1580783,120.667623
和平中華路口	42435.593974437645,2763820.2866969747	24.9817354,121.4203396
和平中華路口	61292.036751742824,2652435.5188308591	23.9754529,121.6023068
和平中華路口	-9426.87213862013,2730931.9570708945	24.685365,120.906845
和平中華路口	-46738.676235547013,2663816.8913163105	24.0787129,120.5403372
和平中華路口	-57223.035119439883,2623004.4839182794	23.7098622,120.4388221
和平中華路口	47137.636513434285,2580615.3037806386	23.3274215,121.4609401
和平中華路口	51072.19400027988,2769477.093934583	25.032539,121.506095
和平中華路口	-54506.0143714258,2557529.1584457895	23.118723,120.4678365
和平中華路口	13770.223899955303,2532508.3025757242	22.8936073,121.1342225
昆明街口	23496.523472776291,2760079.8397478363	24.9483769,121.2326796
捷運龍山寺站	50438.431803839107,2769778.2401969535	25.035279,121.499826
大里服飾	-31348.133598817691,2665209.4753069063	24.091667,120.691667
西園29服飾基地	50157.868501577141,2769398.7182013732	25.031862,121.497032
華江高中(西園)	50029.495284539531,2769124.65451358	25.029392,121.49575
聚福宮	-54823.86367995663,2652799.1924629007	23.9789729,120.4612389
聚福宮	-81769.182508767568,2623716.8430211651	23.715234,120.1980779
保德里	50089.103658079912,2768432.0070308172	25.0231368,121.4963155
東園國小	-1613.1131803734302,2743468.6479948792	24.798583,120.984045
東園國小	-36551.64682059503,2664323.168858869	24.0835525,120.6405095
東園國小	50240.5181470231,2768465.8147310461	25.023437,121.497817
東園國小	1198.2417598794179,2741621.150688123	24.781903,121.01185
果菜市場	50216.594937819471,2768082.2538011968	25.019975,121.497566
華中河濱公園	49935.821095072519,2767574.7579547768	25.0154026,121.4947657
羅斯福辛亥路口	53421.337946495172,2768047.8559576161	25.0195548,121.5293175
調度站興隆站	54952.736211949705,2766098.2454328313	25.001899,121.544413
光仁國小	50468.668917901807,2768203.25269945	25.021059,121.500068
青年路派出所	50681.95995195736,2768297.8054963034	25.0219055,121.5021848
青年路	50731.544026827563,2768398.6650115619	25.0228144,121.5026798
青年路	17220.38871289917,2757534.6101802611	24.9254816,121.1704974
青年路	-35457.823076148496,2699596.007732024	24.4020602,120.6503981
青年路	16695.760094568715,2758230.5838235556	24.931771,121.1653115
青年路	-45469.384045703468,2681432.5711724632	24.2378039,120.552266
青年路	64733.148086569083,2790940.7156313173	25.2257826,121.6424737
